file_stem,doc_cer,doc_wer
9fe1d8ad-b224-4334-8623-57599b769cca,0.693295115,0.871244635
eb526423-2174-4fed-b2c7-ee895c7f6015,0.470717884,0.877593361
eb5f8e57-3fed-4ea1-8afc-e415c7c4dca3,0.462215042,0.801536492
ebbdf0db-7dfd-474c-a8b1-a99e76f551c0,0.344904815,0.654135338
ebccab5f-27b7-4bf4-9c6f-5c6b499c99dc,0.546626984,0.82566586
fba0ba32-c041-422f-9f28-86cba8c0b39f,0.628440367,0.84375
d7e3eb0f-3f7a-40aa-b7f4-ba62f19e1c7e,0.717383083,0.955147373
6b54972a-69c5-439d-be2e-d1bb659e5c8e,0.239612188,0.443037975
b7b43f95-769a-4687-897f-4dbcfcb116bb,0.654320988,0.866666667
f8bead4c-d713-4d32-9a6d-b5e8f29cadd1,0.335064036,0.787047201
0fecef71-5959-44c1-a14e-ffcaa9357167,0.112701252,0.239329268
00a9f4ae-1425-4976-a2dc-6da331aa3b32,0.195411392,0.557422969
cfac92ae-4b00-4288-afc5-f2ad0932d941,0.178231293,0.588516746
dc5e7c2f-a30c-448d-bb00-9a59403897a7,0.756235294,0.955645161
6b62728b-8259-406c-bf89-ad031129fd66,0.773584906,0.857142857
8c23040e-cc42-4ef5-9fa5-6a58912e6f4c,0.56002752,0.806615776
f335e15b-83ea-44b7-b11d-29635752166c,0.784705882,1
ebf5af54-2d1a-4b4b-bfaf-f1e3c68861e8,0.359639831,0.75748503
9a3f6fba-f2f1-48f2-ba85-94a9fbd437fd,0.742271747,0.896969697
d5f049ae-7db9-4f23-acbb-80324df9d928,0.12716263,0.369791667
d4b0c25a-54be-4d1e-8b93-7476553e925d,0.167429094,0.301492537
f78fbab4-9ab3-4d35-8e00-866531dd42db,0.822424587,0.988235294
5e42909a-e456-4ab5-9768-82212de79907,0.710679612,0.876595745
da2c5eec-5428-4225-b82e-f2e10424858f,1.407079646,1.693877551
f1db23fb-2bc1-4af6-8a1c-6f7dcdfd8557,0.021262887,0.114942529
da001df4-8879-4fe2-ac66-dd4a46a62a98,0.263959391,0.441176471
0c957e6f-c7a1-4b5c-b52a-0e5549548ff3,0.070588235,0.310344828
fffc7887-66d2-4573-95c3-eb85188b0b86,0.258208955,0.630769231
55d135eb-a6c3-4465-ba8e-05d1726a9ed9,0.171277997,0.399193548
0a9067c1-3a48-436f-938a-f1d6e0d22275,0.221746117,0.702531646
d6b922b3-c687-4b20-8210-46a937c7e589,0.076086957,0.16015625
f00eb707-f734-4621-a1b7-c2aa7c11241c,0.229415904,0.638083228
0b0e7f70-1225-4ed5-b5e2-9cc5fb9795a6,0.048250905,0.182481752
dbb4dce8-f5c7-4676-82d8-ce7b89c837ad,0.704697987,0.950980392
d0df01a2-dbb8-4ab1-a695-d6ab46519cdd,0.217575188,0.276923077
cf05feb8-554d-47bb-925e-360f4764d4d4,0.421216849,0.655339806
dc5bb68a-36dd-4a3f-8f82-6895a69f3b93,0.708298407,0.896440129
0c4fb76b-1a34-4253-b75a-e7814fd0a137,0.185614849,0.430769231
02f35df8-3b24-45ca-b207-50f8c5248197,0.312170951,0.804597701
f8c21d7a-f465-4aab-98ab-f56dd1ab5665,0.481191223,0.64516129
0ec5fb17-0ec5-40d2-8d24-7f51881c41ad,0.343575419,0.717948718
00f59602-15ca-423e-95f6-eb5ba37248dd,0.110183639,0.444444444
3c0707c2-7f4f-4589-9517-37fe240c2aca,0.12585034,0.176190476
0bf084ec-77d0-4f95-bab0-d1d23c67037d,0.446669667,0.679746835
0a93eea1-31e3-4fda-8a8b-240b3fcd3aff,0.439649359,0.891025641
d9067f1b-49d0-4375-bc40-24bcc7c1ee86,0.640661437,1.034813926
29d5c493-b628-49e8-8c16-020fae38114b,0.23781035,0.422222222
