file_stem,box_cer,box_wer,doc_cer,doc_wer
9fe1d8ad-b224-4334-8623-57599b769cca,,,0.6932951146560319,0.871244635193133
eb526423-2174-4fed-b2c7-ee895c7f6015,,,0.47071788413098237,0.8775933609958506
eb5f8e57-3fed-4ea1-8afc-e415c7c4dca3,,,0.462215042182732,0.8015364916773368
ebbdf0db-7dfd-474c-a8b1-a99e76f551c0,,,0.3449048152295633,0.6541353383458647
ebccab5f-27b7-4bf4-9c6f-5c6b499c99dc,,,0.5466269841269841,0.8256658595641646
fba0ba32-c041-422f-9f28-86cba8c0b39f,,,0.6284403669724771,0.84375
d7e3eb0f-3f7a-40aa-b7f4-ba62f19e1c7e,,,0.7173830833228287,0.9551473729175566
6b54972a-69c5-439d-be2e-d1bb659e5c8e,,,0.23961218836565096,0.4430379746835443
b7b43f95-769a-4687-897f-4dbcfcb116bb,,,0.654320987654321,0.8666666666666667
f8bead4c-d713-4d32-9a6d-b5e8f29cadd1,,,0.33506403599861545,0.7870472008781558
0fecef71-5959-44c1-a14e-ffcaa9357167,,,0.11270125223613596,0.23932926829268292
00a9f4ae-1425-4976-a2dc-6da331aa3b32,,,0.19541139240506328,0.5574229691876751
cfac92ae-4b00-4288-afc5-f2ad0932d941,,,0.1782312925170068,0.5885167464114832
dc5e7c2f-a30c-448d-bb00-9a59403897a7,,,0.756235294117647,0.9556451612903226
6b62728b-8259-406c-bf89-ad031129fd66,,,0.7735849056603774,0.8571428571428571
8c23040e-cc42-4ef5-9fa5-6a58912e6f4c,,,0.5600275197798418,0.806615776081425
f335e15b-83ea-44b7-b11d-29635752166c,,,0.7847058823529411,1.0
ebf5af54-2d1a-4b4b-bfaf-f1e3c68861e8,,,0.3596398305084746,0.7574850299401198
9a3f6fba-f2f1-48f2-ba85-94a9fbd437fd,,,0.7422717469446442,0.896969696969697
d5f049ae-7db9-4f23-acbb-80324df9d928,,,0.12716262975778547,0.3697916666666667
d4b0c25a-54be-4d1e-8b93-7476553e925d,,,0.16742909423604757,0.30149253731343284
f78fbab4-9ab3-4d35-8e00-866531dd42db,,,0.8224245873648264,0.9882352941176471
5e42909a-e456-4ab5-9768-82212de79907,,,0.7106796116504854,0.8765957446808511
da2c5eec-5428-4225-b82e-f2e10424858f,,,1.407079646017699,1.6938775510204083
f1db23fb-2bc1-4af6-8a1c-6f7dcdfd8557,,,0.021262886597938145,0.11494252873563218
da001df4-8879-4fe2-ac66-dd4a46a62a98,,,0.2639593908629442,0.4411764705882353
0c957e6f-c7a1-4b5c-b52a-0e5549548ff3,,,0.07058823529411765,0.3103448275862069
fffc7887-66d2-4573-95c3-eb85188b0b86,,,0.2582089552238806,0.6307692307692307
55d135eb-a6c3-4465-ba8e-05d1726a9ed9,,,0.1712779973649539,0.39919354838709675
0a9067c1-3a48-436f-938a-f1d6e0d22275,,,0.22174611676486342,0.7025316455696202
d6b922b3-c687-4b20-8210-46a937c7e589,,,0.07608695652173914,0.16015625
f00eb707-f734-4621-a1b7-c2aa7c11241c,,,0.22941590429275158,0.6380832282471627
0b0e7f70-1225-4ed5-b5e2-9cc5fb9795a6,,,0.04825090470446321,0.18248175182481752
dbb4dce8-f5c7-4676-82d8-ce7b89c837ad,,,0.7046979865771812,0.9509803921568627
d0df01a2-dbb8-4ab1-a695-d6ab46519cdd,,,0.2175751879699248,0.27692307692307694
cf05feb8-554d-47bb-925e-360f4764d4d4,,,0.42121684867394693,0.6553398058252428
dc5bb68a-36dd-4a3f-8f82-6895a69f3b93,,,0.7082984073763621,0.8964401294498382
0c4fb76b-1a34-4253-b75a-e7814fd0a137,,,0.18561484918793503,0.4307692307692308
02f35df8-3b24-45ca-b207-50f8c5248197,,,0.31217095075874884,0.8045977011494253
f8c21d7a-f465-4aab-98ab-f56dd1ab5665,,,0.48119122257053293,0.6451612903225806
0ec5fb17-0ec5-40d2-8d24-7f51881c41ad,,,0.3435754189944134,0.717948717948718
00f59602-15ca-423e-95f6-eb5ba37248dd,,,0.11018363939899833,0.4444444444444444
3c0707c2-7f4f-4589-9517-37fe240c2aca,,,0.12585034013605442,0.1761904761904762
0bf084ec-77d0-4f95-bab0-d1d23c67037d,,,0.4466696669666967,0.6797468354430379
0a93eea1-31e3-4fda-8a8b-240b3fcd3aff,,,0.4396493594066082,0.8910256410256411
d9067f1b-49d0-4375-bc40-24bcc7c1ee86,,,0.6406614373542506,1.034813925570228
29d5c493-b628-49e8-8c16-020fae38114b,,,0.23781034998504338,0.4222222222222222
0a77ccd7-415e-4914-a745-392137492d16,,,0.1417285132870481,0.5402843601895735
3c2759e3-03d5-4755-af2b-0fb5469fb3e4,,,0.040638297872340426,0.15263157894736842
db3cff87-6231-4443-8000-d55374e9a587,,,0.6698325418645339,0.9173228346456693
d2d95bff-6f9e-440f-8035-c6356ee0cf4a,,,0.06917394224311618,0.25213675213675213
f1e2128b-b41a-4936-ae53-fdcf9b24ddb9,,,1.0,1.0
f260d228-1aae-4ba7-a9a7-bd9851d0e73b,,,0.7549575070821529,0.9836065573770492
d0d17e4e-9d8f-465a-998d-fa192692610e,,,0.1773981603153745,0.5436893203883495
0f3f3a84-eaa5-4345-8e14-3f48b174de25,,,1.0,1.0
323cfddd-1973-44ee-94e6-c2d0954ed9df,,,0.48633879781420764,0.5655737704918032
