file_stem,average_NED,average_accuracy,average_precision,average_f1
f1db23fb-2bc1-4af6-8a1c-6f7dcdfd8557,0.03490159901599015,0.8929889298892989,0.9063670411985019,0.8996282527881041
d9dfe28f-8fb9-4e9b-8001-11e19c33cb04,0.05,0.95,1.0,0.9743589743589743
0b0e7f70-1225-4ed5-b5e2-9cc5fb9795a6,0.06154504967454607,0.8345323741007195,0.8405797101449275,0.8375451263537906
d6b922b3-c687-4b20-8210-46a937c7e589,0.06354607555369948,0.866581956797967,0.8973684210526316,0.8817065287653523
0be67a3d-f52b-4ebf-817a-3827b5136379,0.06646903820816864,0.8369565217391305,0.8279569892473119,0.8324324324324325
ed10b1a3-b1c8-46ca-98f0-947f200c1855,0.07123112064729353,0.8013245033112583,0.7658227848101266,0.7831715210355987
0aa9adfb-378e-457a-8e29-f9e75f9611ad,0.07400674325674324,0.7675,0.7892030848329049,0.7782002534854247
ee272a9a-3ddd-43c2-b6fc-23b653c93830,0.0759386001031245,0.8149100257069408,0.8521505376344086,0.8331143232588699
3c2759e3-03d5-4755-af2b-0fb5469fb3e4,0.07674823736999904,0.8393782383419689,0.8804347826086957,0.8594164456233422
eb97c7d4-62bb-4872-a3f7-d5c0f9c04749,0.07897727272727274,0.8269230769230769,0.86,0.8431372549019608
d2d95bff-6f9e-440f-8035-c6356ee0cf4a,0.09135936895083235,0.7845528455284553,0.8247863247863247,0.8041666666666667
52f8d13c-3cd8-4b19-b720-05e708c668f0,0.09324151277970105,0.8188277087033747,0.8537037037037037,0.8359020852221215
d4789ef2-6d9e-4d5a-9ef7-b755b10d700c,0.0971095238095238,0.768,0.8067226890756303,0.7868852459016394
0fecef71-5959-44c1-a14e-ffcaa9357167,0.09952503002652706,0.8143712574850299,0.8704,0.8414539829853055
faf1a13b-970b-4194-a018-092b13f62f3f,0.10011433952111919,0.7627118644067796,0.8108108108108109,0.7860262008733624
d0c8f672-8697-49a2-aca4-7be177dc21a0,0.10339661815725645,0.773936170212766,0.8314285714285714,0.8016528925619834
1d5ae99f-c03e-4ba1-844a-16d48be9ca03,0.10734964977650009,0.6833046471600689,0.7076648841354723,0.6952714535901927
f2db3a94-a3fb-4c94-81f2-e18c9f3de43f,0.10854546787474773,0.6895306859205776,0.7047970479704797,0.697080291970803
da001df4-8879-4fe2-ac66-dd4a46a62a98,0.1125,0.7631578947368421,0.8285714285714286,0.7945205479452055
0b4345c4-83a0-4d93-9188-92ea0822c7a0,0.11277633913585576,0.7220543806646526,0.7635782747603834,0.7422360248447206
daf266d4-948a-473c-be37-7d1852af15c8,0.12094450048333541,0.8097087378640777,0.892933618843683,0.8492871690427699
d07db47f-eeab-4b72-96a5-e08a4474372c,0.1219737525144378,0.7901498929336188,0.8682352941176471,0.827354260089686
